Id,Name,Type,TcgDate,OcgDate,Artwork
706925,Atlantean Marksman,Effect Monster,10/11/2012,06/16/2012,https://images.ygoprodeck.com/images/cards_cropped/706925.jpg
712559,Amazoness Village,Spell Card,08/07/2010,04/17/2010,https://images.ygoprodeck.com/images/cards_cropped/712559.jpg
720147,Generaider Boss Bite,Trap Card,11/21/2019,08/03/2019,https://images.ygoprodeck.com/images/cards_cropped/720147.jpg
732302,Temple of Skulls,Normal Monster,04/28/2006,07/05/1999,https://images.ygoprodeck.com/images/cards_cropped/732302.jpg
734741,"Rubic, Malebranche of the Burning Abyss",Tuner Monster,11/06/2014,09/19/2015,https://images.ygoprodeck.com/images/cards_cropped/734741.jpg
739444,Vorticular Drumgon,Link Monster,07/26/2018,04/14/2018,https://images.ygoprodeck.com/images/cards_cropped/739444.jpg
744887,"Utgarda, Generaider Boss of Delusion",Effect Monster,01/30/2020,10/12/2019,https://images.ygoprodeck.com/images/cards_cropped/744887.jpg
759393,Hiita the Fire Charmer,Flip Effect Monster,,02/24/2005,https://images.ygoprodeck.com/images/cards_cropped/759393.jpg
759393,Hiita the Fire Charmer,Flip Effect Monster,05/28/2005,02/24/2005,https://images.ygoprodeck.com/images/cards_cropped/759393.jpg
770365,Empress of Prophecy,XYZ Monster,11/09/2012,07/21/2012,https://images.ygoprodeck.com/images/cards_cropped/770365.jpg
786906,Fateful Hour,Trap Card,01/31/2019,10/13/2018,https://images.ygoprodeck.com/images/cards_cropped/786906.jpg
799183,Super Soldier Shield,Trap Card,11/05/2015,07/18/2015,https://images.ygoprodeck.com/images/cards_cropped/799183.jpg
811734,D/D/D Contract Change,Trap Card,11/05/2015,07/18/2015,https://images.ygoprodeck.com/images/cards_cropped/811734.jpg
816427,Neo Flamvell Lady,Effect Monster,05/02/2019,01/12/2019,https://images.ygoprodeck.com/images/cards_cropped/816427.jpg
821049,Visas Amritara,Synchro Tuner Monster,07/27/2023,04/22/2023,https://images.ygoprodeck.com/images/cards_cropped/821049.jpg
844056,Red Arrows,Spell Card,10/19/2023,11/05/2022,https://images.ygoprodeck.com/images/cards_cropped/844056.jpg
847915,Number Wall,Trap Card,07/12/2013,08/10/2013,https://images.ygoprodeck.com/images/cards_cropped/847915.jpg
856784,Draw of Fate,Spell Card,04/03/2019,12/22/2018,https://images.ygoprodeck.com/images/cards_cropped/856784.jpg
863795,Galaxy Summoner,Effect Monster,02/09/2023,10/15/2022,https://images.ygoprodeck.com/images/cards_cropped/863795.jpg
876330,Dragunity Arma Mystletainn,Effect Monster,03/04/2011,06/19/2010,https://images.ygoprodeck.com/images/cards_cropped/876330.jpg
879958,Parallel Port Armor,Trap Card,12/07/2017,10/14/2017,https://images.ygoprodeck.com/images/cards_cropped/879958.jpg
885016,Multi-Universe,Spell Card,04/25/2024,01/01/1990,https://images.ygoprodeck.com/images/cards_cropped/885016.jpg
897409,Galaxy Hundred,Spell Card,02/09/2023,10/15/2022,https://images.ygoprodeck.com/images/cards_cropped/897409.jpg
899287,Glife the Phantom Bird,Effect Monster,06/28/2018,05/12/2018,https://images.ygoprodeck.com/images/cards_cropped/899287.jpg
900787,Dragunity Knight - Gae Bulg,Synchro Monster,09/25/2010,07/01/2009,https://images.ygoprodeck.com/images/cards_cropped/900787.jpg
904185,Vertical Landing,Spell Card,08/08/2013,04/20/2013,https://images.ygoprodeck.com/images/cards_cropped/904185.jpg
904186,Mecha Phantom Beast Token,Token,12/06/2018,01/01/2013,https://images.ygoprodeck.com/images/cards_cropped/904186.jpg
911883,Unexpected Dai,Spell Card,05/14/2015,02/14/2015,https://images.ygoprodeck.com/images/cards_cropped/911883.jpg
917796,Gagagatag,Spell Card,11/08/2013,07/20/2013,https://images.ygoprodeck.com/images/cards_cropped/917796.jpg
923596,Geargiarmor,Effect Monster,08/18/2012,04/14/2012,https://images.ygoprodeck.com/images/cards_cropped/923596.jpg
938717,Boot-Up Corporal - Command Dynamo,Effect Monster,08/22/2019,10/03/2020,https://images.ygoprodeck.com/images/cards_cropped/938717.jpg
952523,Traptrix Cularia,Link Monster,06/03/2021,01/16/2021,https://images.ygoprodeck.com/images/cards_cropped/952523.jpg
967928,Penalty Game!,Trap Card,02/26/2005,11/25/2004,https://images.ygoprodeck.com/images/cards_cropped/967928.jpg
975299,B.E.F. Zelos,Spell Card,05/04/2017,01/14/2017,https://images.ygoprodeck.com/images/cards_cropped/975299.jpg
980973,Armed Dragon LV3,Effect Monster,10/01/2004,05/27/2004,https://images.ygoprodeck.com/images/cards_cropped/980973.jpg
981540,Half Unbreak,Trap Card,05/14/2015,09/21/2013,https://images.ygoprodeck.com/images/cards_cropped/981540.jpg
983995,Rebound,Trap Card,08/18/2012,04/14/2012,https://images.ygoprodeck.com/images/cards_cropped/983995.jpg
984114,Expressroid,Effect Monster,07/25/2007,07/21/2007,https://images.ygoprodeck.com/images/cards_cropped/984114.jpg
987311,D/D/D Gust King Alexander,Synchro Monster,09/01/2016,08/09/2014,https://images.ygoprodeck.com/images/cards_cropped/987311.jpg
1003028,Doggy Diver,Effect Monster,01/15/2015,09/21/2013,https://images.ygoprodeck.com/images/cards_cropped/1003028.jpg
1003840,Starlight Junktion,Spell Card,08/27/2015,12/06/2014,https://images.ygoprodeck.com/images/cards_cropped/1003840.jpg
1005587,Void Trap Hole,Trap Card,08/18/2012,04/14/2012,https://images.ygoprodeck.com/images/cards_cropped/1005587.jpg
1006081,Junk Changer,Tuner Monster,03/17/2016,03/19/2016,https://images.ygoprodeck.com/images/cards_cropped/1006081.jpg
1033312,Painful Decision,Spell Card,11/05/2015,07/18/2015,https://images.ygoprodeck.com/images/cards_cropped/1033312.jpg
1036974,Misfortune,Spell Card,05/17/2006,02/16/2006,https://images.ygoprodeck.com/images/cards_cropped/1036974.jpg
1041278,Branded Expulsion,Trap Card,08/04/2022,04/23/2022,https://images.ygoprodeck.com/images/cards_cropped/1041278.jpg
1045143,Geargiano Mk-II,Effect Monster,08/18/2012,04/14/2012,https://images.ygoprodeck.com/images/cards_cropped/1045143.jpg
1047075,Fighting Flame Swordsman,Effect Monster,01/18/2024,01/01/1990,https://images.ygoprodeck.com/images/cards_cropped/1047075.jpg
1050186,Satellarknight Unukalhai,Effect Monster,08/14/2014,04/19/2014,https://images.ygoprodeck.com/images/cards_cropped/1050186.jpg
1050355,Dream Mirror of Terror,Spell Card,07/25/2019,10/03/2020,https://images.ygoprodeck.com/images/cards_cropped/1050355.jpg
1050684,Scrapyard,Spell Card,08/07/2010,04/17/2010,https://images.ygoprodeck.com/images/cards_cropped/1050684.jpg
1061200,F.A. City Grand Prix,Spell Card,02/01/2018,09/08/2018,https://images.ygoprodeck.com/images/cards_cropped/1061200.jpg
1073952,Magic Planter,Spell Card,05/02/2009,02/14/2009,https://images.ygoprodeck.com/images/cards_cropped/1073952.jpg
1082946,Pyro Clock of Destiny,Trap Card,07/18/2003,03/21/2002,https://images.ygoprodeck.com/images/cards_cropped/1082946.jpg
1102515,Dark Mimic LV3,Effect Monster,10/01/2004,05/27/2004,https://images.ygoprodeck.com/images/cards_cropped/1102515.jpg
1118137,Power of the Guardians,Spell Card,02/01/2018,10/14/2017,https://images.ygoprodeck.com/images/cards_cropped/1118137.jpg
1127737,Sargasso the D.D. Battlefield,Spell Card,08/08/2013,04/20/2013,https://images.ygoprodeck.com/images/cards_cropped/1127737.jpg
1142880,Cyber Dragon Nachster,Effect Monster,04/03/2019,07/21/2018,https://images.ygoprodeck.com/images/cards_cropped/1142880.jpg
1149109,Deck Lockdown,Spell Card,05/03/2008,02/23/2008,https://images.ygoprodeck.com/images/cards_cropped/1149109.jpg
1151281,Subterror Behemoth Phospheroglacier,Flip Effect Monster,05/04/2017,09/09/2017,https://images.ygoprodeck.com/images/cards_cropped/1151281.jpg
1154611,Paleozoic Leanchoilia,Trap Card,11/03/2016,09/10/2016,https://images.ygoprodeck.com/images/cards_cropped/1154611.jpg
1157683,Cyberdark Invasion,Trap Card,07/29/2021,05/15/2021,https://images.ygoprodeck.com/images/cards_cropped/1157683.jpg
